,Jahr,Rechtsgrundlagen,Value
163,2005,"§10 Abs.1 StAG, Aufenthalt in Deutschland",77091
164,2005,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",17326
165,2005,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
166,2005,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
167,2005,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),77
168,2005,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",6
169,2005,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",20
170,2005,"§13 StAG, Ehemalige Deutsche im Ausland lebend",138
171,2005,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",73
172,2005,§15 StAG Bundesbeamte im Ausland (bis 2004),0
173,2005,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
174,2005,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",217
175,2005,"§21 HAuslG, Heimatlose Ausländer",111
176,2005,"§40b StAG, Übergangsregelung für Kinder",96
177,2005,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",1103
178,2005,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
179,2005,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
180,2005,"§8 StAG, Niederlassung in Deutschland auf Dauer",5509
181,2005,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
182,2005,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
183,2005,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
184,2005,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
185,2005,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
186,2005,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
187,2005,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
188,2005,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
189,2005,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
190,2005,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",11819
191,2005,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",25
192,2006,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",5139
193,2006,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,164
194,2006,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
195,2006,"§10 Abs.1 StAG, Aufenthalt in Deutschland",83178
196,2006,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",16558
197,2006,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
198,2006,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
199,2006,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),76
200,2006,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",9
201,2006,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",6
202,2006,"§13 StAG, Ehemalige Deutsche im Ausland lebend",100
203,2006,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",69
204,2006,§15 StAG Bundesbeamte im Ausland (bis 2004),0
205,2006,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
206,2006,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",192
207,2006,"§21 HAuslG, Heimatlose Ausländer",100
208,2006,"§40b StAG, Übergangsregelung für Kinder",36
209,2006,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",635
210,2006,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
211,2006,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
212,2006,"§8 StAG, Niederlassung in Deutschland auf Dauer",6431
213,2006,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
214,2006,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
215,2006,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
216,2006,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
217,2006,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
218,2006,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
219,2006,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
220,2006,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
