,STAG,Ausgewählte Aufenthaltstitel,Value
111,2007-12-31,"Befristete AE, besondere Gründe und nationale Visa",445790
112,2007-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",185227
113,2007-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",137402
114,2007-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",76903
115,2007-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",734311
116,2007-12-31,Duldung,132228
117,2007-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",161062
118,2007-12-31,Unbefristete Niederlassungserlaubnis,2372877
119,2007-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,17898
120,2008-12-31,Antrag auf einen Aufenthaltstitel gestellt,69802
121,2008-12-31,Aufenthaltsgestattung,18929
122,2008-12-31,Aufenthaltsrecht nach FreizügG/EU,2421002
123,2008-12-31,"Befristete AE, besondere Gründe und nationale Visa",362658
124,2008-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",172033
125,2008-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",138361
126,2008-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",84713
127,2008-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",750947
128,2008-12-31,Duldung,104018
129,2008-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",153767
130,2008-12-31,Unbefristete Niederlassungserlaubnis,2435066
131,2008-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,16322
132,2009-12-31,Antrag auf einen Aufenthaltstitel gestellt,70722
133,2009-12-31,Aufenthaltsgestattung,24621
134,2009-12-31,Aufenthaltsrecht nach FreizügG/EU,2429163
135,2009-12-31,"Befristete AE, besondere Gründe und nationale Visa",288358
136,2009-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",180929
137,2009-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",140499
138,2009-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",82022
139,2009-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",749910
140,2009-12-31,Duldung,88736
141,2009-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",147577
142,2009-12-31,Unbefristete Niederlassungserlaubnis,2478114
143,2009-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,14125
144,2010-12-31,Antrag auf einen Aufenthaltstitel gestellt,69018
145,2010-12-31,Aufenthaltsgestattung,35837
146,2010-12-31,Aufenthaltsrecht nach FreizügG/EU,2505895
147,2010-12-31,"Befristete AE, besondere Gründe und nationale Visa",233449
148,2010-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",191476
149,2010-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",142604
150,2010-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",84852
151,2010-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",738251
152,2010-12-31,Duldung,86522
153,2010-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",134005
154,2010-12-31,Unbefristete Niederlassungserlaubnis,2518961
155,2010-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,12751
156,2011-12-31,Antrag auf einen Aufenthaltstitel gestellt,129451
157,2011-12-31,Aufenthaltsgestattung,47130
158,2011-12-31,Aufenthaltsrecht nach FreizügG/EU,2662830
159,2011-12-31,"Befristete AE, besondere Gründe und nationale Visa",188512
160,2011-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",174504
161,2011-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",133778
162,2011-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",90548
163,2011-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",712974
164,2011-12-31,Duldung,87199
165,2011-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",146368
166,2011-12-31,Unbefristete Niederlassungserlaubnis,2545719
167,2011-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,11883
168,2012-12-31,Antrag auf einen Aufenthaltstitel gestellt,122033
169,2012-12-31,Aufenthaltsgestattung,65918
170,2012-12-31,Aufenthaltsrecht nach FreizügG/EU,2893206
171,2012-12-31,"Befristete AE, besondere Gründe und nationale Visa",153596
172,2012-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",192524
173,2012-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",145766
174,2012-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",101950
175,2012-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",698839
176,2012-12-31,Duldung,85411
177,2012-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",161622
178,2012-12-31,Unbefristete Niederlassungserlaubnis,2581890
179,2012-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,10953
180,2013-12-31,Antrag auf einen Aufenthaltstitel gestellt,126456
181,2013-12-31,Aufenthaltsgestattung,110337
182,2013-12-31,Aufenthaltsrecht nach FreizügG/EU,3423400
183,2013-12-31,"Befristete AE, besondere Gründe und nationale Visa",135459
184,2013-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",203918
185,2013-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",159934
186,2013-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",105018
187,2013-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",664209
188,2013-12-31,Duldung,94111
189,2013-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",183726
190,2013-12-31,Unbefristete Niederlassungserlaubnis,2416837
191,2013-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,10223
192,2014-12-31,Antrag auf einen Aufenthaltstitel gestellt,131887
193,2014-12-31,Aufenthaltsgestattung,177902
194,2014-12-31,Aufenthaltsrecht nach FreizügG/EU,3737307
195,2014-12-31,"Befristete AE, besondere Gründe und nationale Visa",129457
196,2014-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",240973
197,2014-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",175112
198,2014-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",112710
199,2014-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",646645
200,2014-12-31,Duldung,112810
201,2014-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",227036
202,2014-12-31,Unbefristete Niederlassungserlaubnis,2451337
203,2014-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,9792
204,2015-12-31,Antrag auf einen Aufenthaltstitel gestellt,155558
205,2015-12-31,Aufenthaltsgestattung,349808
206,2015-12-31,Aufenthaltsrecht nach FreizügG/EU,4086541
207,2015-12-31,"Befristete AE, besondere Gründe und nationale Visa",128395
208,2015-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",319950
209,2015-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",190827
