,Jahr,Herkunfts-/Zielländer,Value
389,2003,Honduras,168
390,2003,Indien,17608
391,2003,Indonesien,2994
392,2003,Insgesamt,1203518
393,2003,Irak,11832
394,2003,"Iran, Islamische Republik",9538
395,2003,Irland,2918
396,2003,Island,448
397,2003,Israel,3492
398,2003,Italien,42342
399,2003,Japan,11536
400,2003,Jemen,750
401,2003,Jordanien,1462
402,2003,Kamerun,5086
403,2003,Kanada,5632
404,2003,Kasachstan,18528
405,2003,Kenia,1988
406,2003,Kirgisistan,2842
407,2003,Kolumbien,2626
408,2003,"Kongo, Demokratische Republik",984
409,2003,"Kongo, Republik",626
410,2003,"Korea, Demokratische Volksrepublik",850
411,2003,"Korea, Republik",6010
412,2003,Kosovo,0
413,2003,Kroatien,22460
414,2003,Kuwait,172
415,2003,Lettland,3736
416,2003,Libanon,6232
417,2003,Libyen,1086
418,2003,Litauen,6386
419,2003,Luxemburg,2420
420,2003,Malta,94
421,2003,Marokko,11638
422,2003,Mexiko,4050
423,2003,Montenegro (ab 03.06.2006),0
424,2003,Namibia,170
425,2003,Neuseeland,760
426,2003,Nicaragua,138
427,2003,Niederlande,18878
428,2003,Niger,326
429,2003,Nigeria,4182
430,2003,Nordmazedonien,7240
431,2003,Norwegen,2144
432,2003,Pakistan,6430
433,2003,Paraguay,420
434,2003,Peru,2416
435,2003,Philippinen,3326
436,2003,Polen,176040
437,2003,Portugal,13862
438,2003,Ruanda,166
439,2003,Rumänien,46912
440,2003,Russische Föderation,62018
441,2003,Saudi-Arabien,888
442,2003,Schweden,5726
443,2003,Schweiz,8254
444,2003,Senegal,528
445,2003,Serbien,0
446,2003,Singapur,802
447,2003,Slowakei,21132
448,2003,Slowenien,3984
449,2003,Somalia,824
450,2003,Spanien,16982
451,2003,Sudan (einschließlich Südsudan) (bis 08.07.2011),0
452,2003,Sudan (ohne Südsudan) (ab 09.07.2011),0
453,2003,Syrien,5580
454,2003,Südafrika,2312
455,2003,Südsudan (ab 09.07.2011),0
456,2003,Tadschikistan,184
457,2003,Tansania,464
458,2003,Thailand,12002
459,2003,Tschechien,17112
460,2003,Tunesien,4664
461,2003,Türkei,96414
462,2003,Uganda,520
463,2003,Ukraine,34882
464,2003,Unbekanntes Ausland,0
465,2003,Ungarn,28512
466,2003,Ungeklärt / Ohne Angabe,18016
467,2003,Uruguay,252
468,2003,Usbekistan,2550
469,2003,"Venezuela, Bolivarische Republik",1232
470,2003,Vereinigte Arabische Emirate,1158
471,2003,Vereinigte Staaten,31094
472,2003,Vereinigtes Königreich,18022
473,2003,Vietnam,13020
474,2003,Zentralafrikanische Republik,78
475,2003,Zypern,268
476,2003,Ägypten,3184
477,2003,Äthiopien,1812
478,2003,Österreich,19200
479,2003,Übriges Afrika,13522
480,2003,Übriges Amerika,6772
481,2003,Übriges Asien,12116
482,2003,Übriges Europa,46392
483,2003,Übriges Ozeanien,94
484,2004,Afghanistan,3802
485,2004,Albanien,2404
486,2004,Algerien,4022
487,2004,Andorra,22
488,2004,Angola,658
489,2004,Argentinien,1916
490,2004,Armenien,2044
491,2004,Aserbaidschan,4728
492,2004,Australien,3688
493,2004,Belarus,6670
494,2004,Belgien,4912
495,2004,"Bolivien, Plurinationaler Staat",672
496,2004,Bosnien und Herzegowina,16006
497,2004,Brasilien,10606
498,2004,Bulgarien,22862
499,2004,Chile,1590
500,2004,China,25882
501,2004,Costa Rica,284
502,2004,Cote d'Ivoire,796
503,2004,Dänemark,4348
504,2004,Estland,1554
505,2004,Finnland,4094
506,2004,Frankreich,26420
507,2004,Georgien,6486
508,2004,Ghana,3130
509,2004,Griechenland,20200
510,2004,Honduras,140
511,2004,Indien,17304
512,2004,Indonesien,2820
513,2004,Insgesamt,1204364
514,2004,Irak,5906
515,2004,"Iran, Islamische Republik",7908
516,2004,Irland,2316
517,2004,Island,430
518,2004,Israel,2890
519,2004,Italien,38002
520,2004,Japan,10894
521,2004,Jemen,792
522,2004,Jordanien,1460
523,2004,Kamerun,4690
524,2004,Kanada,5304
525,2004,Kasachstan,13896
526,2004,Kenia,2050
527,2004,Kirgisistan,2556
528,2004,Kolumbien,2680
529,2004,"Kongo, Demokratische Republik",792
530,2004,"Kongo, Republik",470
531,2004,"Korea, Demokratische Volksrepublik",1008
532,2004,"Korea, Republik",5258
533,2004,Kosovo,0
534,2004,Kroatien,20236
535,2004,Kuwait,210
536,2004,Lettland,4630
537,2004,Libanon,5416
538,2004,Libyen,1130
539,2004,Litauen,9474
540,2004,Luxemburg,2832
541,2004,Malta,96
542,2004,Marokko,8664
543,2004,Mexiko,4126
544,2004,Montenegro (ab 03.06.2006),0
545,2004,Namibia,184
546,2004,Neuseeland,762
547,2004,Nicaragua,98
548,2004,Niederlande,18758
549,2004,Niger,336
550,2004,Nigeria,4348
551,2004,Nordmazedonien,6454
552,2004,Norwegen,2096
553,2004,Pakistan,6670
554,2004,Paraguay,386
555,2004,Peru,2328
556,2004,Philippinen,2636
557,2004,Polen,249258
558,2004,Portugal,10966
559,2004,Ruanda,158
560,2004,Rumänien,46478
561,2004,Russische Föderation,55326
562,2004,Saudi-Arabien,798
563,2004,Schweden,5828
564,2004,Schweiz,8656
565,2004,Senegal,454
566,2004,Serbien,0
567,2004,Singapur,914
568,2004,Slowakei,23164
569,2004,Slowenien,4642
570,2004,Somalia,696
571,2004,Spanien,16968
572,2004,Sudan (einschließlich Südsudan) (bis 08.07.2011),0
573,2004,Sudan (ohne Südsudan) (ab 09.07.2011),0
574,2004,Syrien,4510
575,2004,Südafrika,2086
576,2004,Südsudan (ab 09.07.2011),0
577,2004,Tadschikistan,198
578,2004,Tansania,380
579,2004,Thailand,10936
580,2004,Tschechien,17946
581,2004,Tunesien,5084
582,2004,Türkei,81378
583,2004,Uganda,484
584,2004,Ukraine,29352
585,2004,Unbekanntes Ausland,0
586,2004,Ungarn,34738
587,2004,Ungeklärt / Ohne Angabe,19872
588,2004,Uruguay,198
589,2004,Usbekistan,2210
590,2004,"Venezuela, Bolivarische Republik",966
591,2004,Vereinigte Arabische Emirate,1622
592,2004,Vereinigte Staaten,32098
593,2004,Vereinigtes Königreich,17340
594,2004,Vietnam,11488
595,2004,Zentralafrikanische Republik,62
596,2004,Zypern,288
597,2004,Ägypten,2892
598,2004,Äthiopien,1640
599,2004,Österreich,18878
600,2004,Übriges Afrika,12422
601,2004,Übriges Amerika,5882
602,2004,Übriges Asien,10038
603,2004,Übriges Europa,43768
604,2004,Übriges Ozeanien,70
605,2005,Afghanistan,2640
606,2005,Albanien,2184
607,2005,Algerien,2892
608,2005,Andorra,26
609,2005,Angola,624
610,2005,Argentinien,1858
611,2005,Armenien,1552
612,2005,Aserbaidschan,2224
613,2005,Australien,3620
614,2005,Belarus,4740
615,2005,Belgien,4468
616,2005,"Bolivien, Plurinationaler Staat",638
617,2005,Bosnien und Herzegowina,14008
618,2005,Brasilien,11718
619,2005,Bulgarien,17736
620,2005,Chile,1462
621,2005,China,23688
622,2005,Costa Rica,294
623,2005,Cote d'Ivoire,624
624,2005,Dänemark,4244
625,2005,Estland,1394
626,2005,Finnland,3962
627,2005,Frankreich,26020
628,2005,Georgien,5364
629,2005,Ghana,2668
630,2005,Griechenland,17840
631,2005,Honduras,136
632,2005,Indien,15730
633,2005,Indonesien,2610
634,2005,Insgesamt,1158602
635,2005,Irak,6050
636,2005,"Iran, Islamische Republik",6340
637,2005,Irland,2090
638,2005,Island,306
639,2005,Israel,2594
640,2005,Italien,35540
641,2005,Japan,11118
642,2005,Jemen,564
643,2005,Jordanien,1258
644,2005,Kamerun,4032
645,2005,Kanada,5188
646,2005,Kasachstan,9848
647,2005,Kenia,2246
648,2005,Kirgisistan,1876
649,2005,Kolumbien,2490
650,2005,"Kongo, Demokratische Republik",582
651,2005,"Kongo, Republik",280
652,2005,"Korea, Demokratische Volksrepublik",976
653,2005,"Korea, Republik",6088
654,2005,Kosovo,0
655,2005,Kroatien,17912
656,2005,Kuwait,480
657,2005,Lettland,4838
658,2005,Libanon,4058
659,2005,Libyen,954
660,2005,Litauen,10618
661,2005,Luxemburg,3676
662,2005,Malta,134
663,2005,Marokko,7936
664,2005,Mexiko,4296
665,2005,Montenegro (ab 03.06.2006),0
666,2005,Namibia,154
667,2005,Neuseeland,734
668,2005,Nicaragua,130
669,2005,Niederlande,20604
670,2005,Niger,202
671,2005,Nigeria,3270
672,2005,Nordmazedonien,5156
673,2005,Norwegen,1888
674,2005,Pakistan,4410
675,2005,Paraguay,398
676,2005,Peru,2172
677,2005,Philippinen,2778
678,2005,Polen,293886
679,2005,Portugal,9766
680,2005,Ruanda,184
681,2005,Rumänien,45746
682,2005,Russische Föderation,44784
683,2005,Saudi-Arabien,1242
684,2005,Schweden,5328
685,2005,Schweiz,8442
686,2005,Senegal,440
687,2005,Serbien,0
688,2005,Singapur,820
689,2005,Slowakei,23428
690,2005,Slowenien,2884
691,2005,Somalia,428
692,2005,Spanien,16064
693,2005,Sudan (einschließlich Südsudan) (bis 08.07.2011),0
694,2005,Sudan (ohne Südsudan) (ab 09.07.2011),0
695,2005,Syrien,4194
696,2005,Südafrika,1888
697,2005,Südsudan (ab 09.07.2011),0
698,2005,Tadschikistan,164
699,2005,Tansania,344
700,2005,Thailand,9418
701,2005,Tschechien,17218
702,2005,Tunesien,4476
703,2005,Türkei,69498
704,2005,Uganda,384
705,2005,Ukraine,20536
706,2005,Unbekanntes Ausland,0
707,2005,Ungarn,37092
708,2005,Ungeklärt / Ohne Angabe,20468
709,2005,Uruguay,160
710,2005,Usbekistan,1962
711,2005,"Venezuela, Bolivarische Republik",976
712,2005,Vereinigte Arabische Emirate,2528
713,2005,Vereinigte Staaten,32004
714,2005,Vereinigtes Königreich,16446
715,2005,Vietnam,9570
716,2005,Zentralafrikanische Republik,46
717,2005,Zypern,346
718,2005,Ägypten,2820
719,2005,Äthiopien,1034
720,2005,Österreich,18642
721,2005,Übriges Afrika,8724
722,2005,Übriges Amerika,5492
723,2005,Übriges Asien,9490
724,2005,Übriges Europa,35768
725,2005,Übriges Ozeanien,244
726,2006,Afghanistan,2566
727,2006,Albanien,1884
728,2006,Algerien,2462
729,2006,Andorra,10
730,2006,Angola,594
731,2006,Argentinien,1770
732,2006,Armenien,1340
733,2006,Aserbaidschan,1782
734,2006,Australien,4028
735,2006,Belarus,3232
736,2006,Belgien,4632
737,2006,"Bolivien, Plurinationaler Staat",660
738,2006,Bosnien und Herzegowina,13158
739,2006,Brasilien,11944
740,2006,Bulgarien,15052
741,2006,Chile,1476
742,2006,China,25882
743,2006,Costa Rica,350
744,2006,Cote d'Ivoire,442
745,2006,Dänemark,4162
746,2006,Estland,1154
747,2006,Finnland,3584
748,2006,Frankreich,27266
749,2006,Georgien,4050
750,2006,Ghana,2340
751,2006,Griechenland,16378
752,2006,Honduras,144
753,2006,Indien,17822
754,2006,Indonesien,2768
755,2006,Insgesamt,1116934
756,2006,Irak,6780
757,2006,"Iran, Islamische Republik",5702
758,2006,Irland,2182
759,2006,Island,324
760,2006,Israel,2796
761,2006,Italien,35300
762,2006,Japan,10888
763,2006,Jemen,712
764,2006,Jordanien,1208
765,2006,Kamerun,3200
766,2006,Kanada,4988
767,2006,Kasachstan,5370
768,2006,Kenia,2508
769,2006,Kirgisistan,1534
770,2006,Kolumbien,2788
771,2006,"Kongo, Demokratische Republik",384
772,2006,"Kongo, Republik",280
773,2006,"Korea, Demokratische Volksrepublik",774
774,2006,"Korea, Republik",6280
775,2006,Kosovo,0
776,2006,Kroatien,16620
777,2006,Kuwait,518
778,2006,Lettland,4046
779,2006,Libanon,4530
780,2006,Libyen,1258
781,2006,Litauen,9612
782,2006,Luxemburg,4004
783,2006,Malta,182
784,2006,Marokko,7140
785,2006,Mexiko,5272
786,2006,Montenegro (ab 03.06.2006),306
787,2006,Namibia,202
788,2006,Neuseeland,856
789,2006,Nicaragua,116
790,2006,Niederlande,21940
791,2006,Niger,128
792,2006,Nigeria,3388
793,2006,Nordmazedonien,4926
794,2006,Norwegen,1568
795,2006,Pakistan,3928
796,2006,Paraguay,348
797,2006,Peru,2110
798,2006,Philippinen,2624
799,2006,Polen,303486
800,2006,Portugal,9834
801,2006,Ruanda,160
802,2006,Rumänien,46706
803,2006,Russische Föderation,32850
804,2006,Saudi-Arabien,1258
805,2006,Schweden,5138
806,2006,Schweiz,9070
807,2006,Senegal,446
808,2006,Serbien,0
809,2006,Singapur,822
810,2006,Slowakei,22584
811,2006,Slowenien,2172
812,2006,Somalia,288
813,2006,Spanien,16392
814,2006,Sudan (einschließlich Südsudan) (bis 08.07.2011),0
815,2006,Sudan (ohne Südsudan) (ab 09.07.2011),0
816,2006,Syrien,3412
817,2006,Südafrika,1794
818,2006,Südsudan (ab 09.07.2011),0
819,2006,Tadschikistan,256
820,2006,Tansania,292
821,2006,Thailand,8348
822,2006,Tschechien,15688
823,2006,Tunesien,4532
824,2006,Türkei,59178
825,2006,Uganda,286
826,2006,Ukraine,13988
827,2006,Unbekanntes Ausland,18386
828,2006,Ungarn,37268
829,2006,Ungeklärt / Ohne Angabe,710
830,2006,Uruguay,162
831,2006,Usbekistan,1472
832,2006,"Venezuela, Bolivarische Republik",774
833,2006,Vereinigte Arabische Emirate,2030
834,2006,Vereinigte Staaten,32682
835,2006,Vereinigtes Königreich,16606
836,2006,Vietnam,8982
837,2006,Zentralafrikanische Republik,14
838,2006,Zypern,278
839,2006,Ägypten,3314
