Stichtag,Bundesland,Geschlecht,Ländergruppierungen_Code,Ländergruppierungen_Label,Anzahl,Ausländer
2024-12-31,Saarland,männlich,AFRIKA,Afrika,3315,Ausländer
2024-12-31,Saarland,weiblich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),56845,Ausländer
2024-12-31,Saarland,männlich,LDR-SU,Gebiet der ehemaligen Sowjetunion,9555,Ausländer
2024-12-31,Schleswig-Holstein,männlich,EUROPA,Europa,106125,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),41970,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,AMERIKAMIT2,Mittelamerika und Karibik,365,Ausländer
2024-12-31,Hessen,weiblich,LDR-YU,Gebiet des ehemaligen Jugoslawien,72000,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,AFRIKANORD,Nordafrika,2020,Ausländer
2024-12-31,Bremen,männlich,EUROPA-EU-25,EU-25 (bis 31.12.2006),12530,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,ASIEN,Asien,420255,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,LDR-SU,Gebiet der ehemaligen Sowjetunion,23670,Ausländer
2024-12-31,Saarland,weiblich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),48420,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),42240,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),1113875,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,AMERIKA,Amerika,1185,Ausländer
2024-12-31,Saarland,weiblich,EUROPA-EU-27,EU-27 (bis 30.06.2013),30150,Ausländer
2024-12-31,Bremen,weiblich,AFRIKA,Afrika,7395,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,AUSTRALIEN,Australien und Ozeanien,1130,Ausländer
2024-12-31,Saarland,weiblich,AMERIKAMIT2,Mittelamerika und Karibik,355,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,AFRIKASUED,Südafrika,3970,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,AMERIKAMIT2,Mittelamerika und Karibik,3990,Ausländer
2024-12-31,Saarland,männlich,AMERIKAMIT2,Mittelamerika und Karibik,220,Ausländer
2024-12-31,Hamburg,männlich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),150075,Ausländer
2024-12-31,Bremen,weiblich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,230,Ausländer
2024-12-31,Saarland,männlich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),51270,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,,Insgesamt,57660,Ausländer
2024-12-31,Niedersachsen,männlich,AMERIKANORD,Nordamerika,3325,Ausländer
2024-12-31,Bremen,männlich,LDR-YU,Gebiet des ehemaligen Jugoslawien,6605,Ausländer
2024-12-31,Saarland,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),52060,Ausländer
2024-12-31,Thüringen,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),83820,Ausländer
2024-12-31,Baden-Württemberg,männlich,ASIENVOR,Vorderasien,96105,Ausländer
2024-12-31,Bremen,männlich,EUROPA-EU-27,EU-27 (bis 30.06.2013),19385,Ausländer
2024-12-31,Hamburg,weiblich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,1225,Ausländer
2024-12-31,Niedersachsen,weiblich,EUROPA-EG-10,EG-10 (bis 31.12.1985),38570,Ausländer
2024-12-31,Berlin,weiblich,LDR-SU,Gebiet der ehemaligen Sowjetunion,86505,Ausländer
2024-12-31,Schleswig-Holstein,männlich,AMERIKA,Amerika,2835,Ausländer
2024-12-31,Brandenburg,weiblich,AFRIKANORD,Nordafrika,930,Ausländer
2024-12-31,Bremen,männlich,EUROPA-EU-28,EU-28 (bis 31.01.2020),20185,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,AUSTRALIEN,Australien und Ozeanien,1520,Ausländer
2024-12-31,Saarland,männlich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),16005,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),45245,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,AFRIKAOST,Ostafrika,1530,Ausländer
2024-12-31,Bayern,männlich,AFRIKANORD,Nordafrika,18235,Ausländer
2024-12-31,Bayern,männlich,AMERIKANORD,Nordamerika,16520,Ausländer
2024-12-31,Hessen,weiblich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),233745,Ausländer
2024-12-31,Niedersachsen,weiblich,AFRIKAWEST,Westafrika,7630,Ausländer
2024-12-31,Brandenburg,männlich,EUROPA-EG-09,EG-9 (bis 31.12.1980),4050,Ausländer
2024-12-31,Saarland,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),60755,Ausländer
2024-12-31,Bremen,männlich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),81815,Ausländer
2024-12-31,Berlin,weiblich,AMERIKASUD,Südamerika,10995,Ausländer
2024-12-31,Hessen,männlich,ASIENOST2,Ost- und Zentralasien,60260,Ausländer
2024-12-31,Niedersachsen,weiblich,EUROPA-EG-12,EG-12 (bis 31.12.1994),48775,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,EUROPA-EG-09,EG-9 (bis 31.12.1980),35005,Ausländer
2024-12-31,Hamburg,männlich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,2330,Ausländer
2024-12-31,Hessen,männlich,EUROPA-EU-25,EU-25 (bis 31.12.2006),166055,Ausländer
2024-12-31,Hamburg,weiblich,ASIENVOR,Vorderasien,17500,Ausländer
2024-12-31,Berlin,männlich,ASIENSUED2,Süd- und Südostasien,47140,Ausländer
2024-12-31,Sachsen,männlich,AFRIKA,Afrika,11870,Ausländer
2024-12-31,Hamburg,männlich,AFRIKAWEST,Westafrika,9100,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,EUROPA-EU-15,EU-15 (bis 30.04.2004),43885,Ausländer
2024-12-31,Berlin,männlich,EUROPA-EU-27,EU-27 (bis 30.06.2013),154465,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,LDR-GASTARB,Gastarbeiterländer,84570,Ausländer
2024-12-31,Saarland,männlich,AFRIKAZENTR,Zentralafrika,360,Ausländer
2024-12-31,Baden-Württemberg,männlich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,4425,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,EUROPA-EU-15,EU-15 (bis 30.04.2004),52620,Ausländer
2024-12-31,Hessen,männlich,,Insgesamt,699145,Ausländer
2024-12-31,Hamburg,männlich,LDR-YU,Gebiet des ehemaligen Jugoslawien,16345,Ausländer
2024-12-31,Baden-Württemberg,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),714590,Ausländer
2024-12-31,Schleswig-Holstein,männlich,AFRIKAZENTR,Zentralafrika,515,Ausländer
2024-12-31,Baden-Württemberg,weiblich,AFRIKAOST,Ostafrika,10490,Ausländer
2024-12-31,Thüringen,weiblich,LDR-GASTARB,Gastarbeiterländer,7430,Ausländer
2024-12-31,Hamburg,männlich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),50365,Ausländer
2024-12-31,Brandenburg,männlich,,Insgesamt,113570,Ausländer
2024-12-31,Niedersachsen,männlich,ASIEN,Asien,153605,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,LDR-SU,Gebiet der ehemaligen Sowjetunion,27125,Ausländer
2024-12-31,Berlin,männlich,AFRIKASUED,Südafrika,1605,Ausländer
2024-12-31,Bayern,weiblich,AFRIKANORD,Nordafrika,11930,Ausländer
2024-12-31,Baden-Württemberg,männlich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),651910,Ausländer
2024-12-31,Thüringen,männlich,AFRIKASUED,Südafrika,120,Ausländer
2024-12-31,Thüringen,weiblich,AMERIKAMIT2,Mittelamerika und Karibik,470,Ausländer
2024-12-31,Sachsen,männlich,EUROPA-EU-15,EU-15 (bis 30.04.2004),14065,Ausländer
2024-12-31,Baden-Württemberg,weiblich,AFRIKAWEST,Westafrika,11260,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,AMERIKA,Amerika,8360,Ausländer
2024-12-31,Berlin,männlich,EUROPA-EU-28,EU-28 (bis 31.01.2020),161535,Ausländer
2024-12-31,Hessen,weiblich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),602160,Ausländer
2024-12-31,Baden-Württemberg,männlich,AFRIKAOST,Ostafrika,11705,Ausländer
2024-12-31,Bayern,weiblich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),1054460,Ausländer
2024-12-31,Brandenburg,weiblich,AFRIKAZENTR,Zentralafrika,1315,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),1142710,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,AFRIKAOST,Ostafrika,1240,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,LDR-GASTARB,Gastarbeiterländer,4300,Ausländer
2024-12-31,Bremen,weiblich,AMERIKAMIT2,Mittelamerika und Karibik,350,Ausländer
2024-12-31,Bremen,weiblich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),71370,Ausländer
